voltage,current
0.2479,0.000000017644
0.2746,0.000000033752
0.2989,0.000000063823
0.3248,0.00000012209
0.3477,0.00000022821
0.3721,0.00000043655
0.398,0.00000083511
0.4254,0.000001561
0.449,0.0000028509
0.4741,0.0000051469
0.4992,0.0000092921
0.5244,0.000015832
0.5487,0.000027606
0.576,0.000048138
0.599,0.000078304
0.6249,0.00012886
0.6492,0.00021702
0.6743,0.00036551
0.6987,0.00060149
0.7252,0.00093416
0.7497,0.0014176
0.7755,0.002102
0.7999,0.0029076
0.8242,0.0039756
0.85,0.0052503
0.876,0.0065438
0.8995,0.0083469
0.9245,0.0103
0.9475,0.0121338
0.9756,0.0141577
0.9992,0.0165177
1.0266,0.0186256
1.0511,0.0215749
1.074,0.0239346
1.0986,0.026884
1.1249,0.0294969
1.1495,0.0326145
1.1741,0.035648
1.1996,0.0389342
1.2251,0.0420519
1.2505,0.0453381
1.2751,0.0487924
1.2989,0.0519942
1.3234,0.0554485
1.3516,0.0589033
1.3753,0.0626101
1.4245,0.0697713
1.4499,0.0733942
1.4763,0.076933
1.5026,0.0809768
