voltage,current
0.3497,0.000000011243
0.3733,0.000000022526
0.3985,0.000000047274
0.4251,0.00000009694
0.4487,0.0000002011
0.4754,0.00000041717
0.4998,0.00000083587
0.5242,0.0000016748
0.5485,0.0000033947
0.5744,0.0000063453
0.5996,0.000012423
0.6239,0.000022953
0.6491,0.000041438
0.6742,0.00007481
0.6985,0.00013506
0.726,0.00023825
0.7503,0.00041544
0.7747,0.00070782
0.7991,0.0011514
0.8256,0.0018301
0.8508,0.0026515
0.8751,0.0037536
0.9002,0.0051922
0.9253,0.0067001
0.9489,0.0084479
0.974,0.0105
1.0014,0.0127
1.0257,0.0149
1.05,0.0177
1.0751,0.0197
1.0995,0.0229
1.1257,0.0258
1.1494,0.0286
1.1757,0.0319
1.2012,0.0352
1.2258,0.0387
1.2511,0.0421
1.2758,0.0457
1.2995,0.0493
1.3241,0.0531
1.3505,0.0567
1.3742,0.0606
1.3997,0.0646
1.426,0.0684
1.4506,0.0722
1.4761,0.0763
1.5007,0.0793

